"id","code","name","account_type","reconcile","tag_ids","tax_ids"
"by_602200","60.22.00","Расчеты по авансам выданным (в у.е.)","liability_payable","True","",""
"by_604100","60.41.00","Аккредитивы (в валюте)","liability_payable","True","",""
"by_620000","62.00.00","Расчеты с покупателями и заказчиками","asset_receivable","True","",""
"by_620100","62.01.00","Расчеты с покупателями и заказчиками","asset_receivable","True","",""
"by_620200","62.02.00","Расчеты в порядке инкассо","asset_receivable","True","",""
"by_620300","62.03.00","Расчеты по плановым платежам","asset_receivable","True","",""
"by_620400","62.04.00","Векселя полученные","asset_receivable","True","",""
"by_620500","62.05.00","Расчеты по авансам полученным","asset_receivable","True","",""
"by_620600","62.06.00","Расчеты по комиссионным товарам","asset_receivable","True","",""
"by_620700","62.07.00","Расчеты с дольщиками по финансированию создания объекта долевого строительства","asset_current","True","",""
"by_621100","62.11.00","Расчеты с покупателями и заказчиками (в валюте)","asset_receivable","True","",""
"by_621200","62.12.00","Расчеты с покупателями и заказчиками (в у.е.)","asset_receivable","True","",""
"by_625100","62.51.00","Расчеты по авансам полученным (в валюте)","asset_receivable","True","",""
"by_625200","62.52.00","Расчеты по авансам полученным (в у.е.)","asset_receivable","True","",""
"by_626100","62.61.00","Расчеты по комиссионным товарам (в валюте)","asset_receivable","True","",""
"by_630000","63.00.00","Резервы по сомнительным долгам","asset_current","True","",""
"by_650000","65.00.00","Отложенные налоговые обязательства","asset_current","True","",""
"by_660000","66.00.00","Расчеты по краткосрочным кредитам и займам","asset_current","True","",""
"by_660100","66.01.00","Расчеты по краткосрочным кредитам","asset_current","True","",""
"by_660200","66.02.00","Расчеты по краткосрочным займам","asset_current","True","",""
"by_660300","66.03.00","Расчеты по процентам по краткосрочным кредитам и займам","asset_current","True","",""
"by_661100","66.11.00","Расчеты по краткосрочным кредитам банка (в валюте)","asset_current","True","",""
"by_662100","66.21.00","Расчеты по краткосрочным займам (в валюте)","asset_current","True","",""
"by_663100","66.31.00","Расчеты по процентам по краткосрочным кредитам и займам (в валюте)","asset_current","True","",""
"by_670000","67.00.00","Расчеты по долгосрочным кредитам и займам","asset_current","True","",""
"by_670100","67.01.00","Расчеты по долгосрочным кредитам","asset_current","True","",""
"by_670200","67.02.00","Расчеты по долгосрочным займам","asset_current","True","",""
"by_670300","67.03.00","Расчеты по процентам по долгосрочным кредитам и займам","asset_current","True","",""
